farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
12536,9178,PUNJAB,FEROZEPUR,Nihala kilcha,9.5,8.81,74.51099839947344,30.937945476697916
12535,9178,PUNJAB,FEROZEPUR,Nihala kilcha,5.4,6.29,74.49843254192335,30.946655986590255
13464,9764,PUNJAB,BATHINDA,Dhalma,8.6,8.95,75.01271913409276,30.31522619707203
13462,9764,PUNJAB,BATHINDA,Dhalma,10.0,10.21,75.0404989647563,30.31551248826209
11649,8567,HARYANA,AMBALA,Aliyaspur,2.0,2.09,77.1523094508238,30.319899999567195
10425,7807,HARYANA,KURUKSHETRA,Bir kalwa,9.0,10.94,76.97387032483972,30.12091589332432
10424,7807,HARYANA,KURUKSHETRA,Bir kalwa,7.0,7.47,76.97229544486805,30.12097562825572
10423,7807,HARYANA,KURUKSHETRA,Bir kalwa,6.0,6.31,76.98537022524273,30.101212470819593
8053,6291,HARYANA,KURUKSHETRA,Hebana,7.0,5.87,76.85894703226666,30.12147322587696
6783,5457,HARYANA,KURUKSHETRA,Shamaspur,5.0,4.15,76.73001011661066,29.97507711613508
7297,6031,PUNJAB,MANSA,Mander,8.12,8.02,75.6814045504707,29.83329084324157
7296,6031,PUNJAB,MANSA,Mander,4.229,4.2,75.6814497890376,29.81549258188707
7295,6031,PUNJAB,MANSA,Mander,5.476,5.38,75.67942965568024,29.81311102862113
7294,6031,PUNJAB,MANSA,Mander,2.325,2.33,75.68026676076869,29.830307284269654
8099,6313,HARYANA,KURUKSHETRA,Sarsa,10.0,9.87,76.66378837396772,29.952410760625096
8097,6313,HARYANA,KURUKSHETRA,Sarsa,10.0,10.91,76.66926885242033,29.945305059496494
8095,6313,HARYANA,KURUKSHETRA,Sarsa,17.0,16.64,76.66554906940507,29.94347950232373
10907,8117,HARYANA,KARNAL,Chhaper,7.0,7.78,77.06755083426627,29.930516211891636
10906,8117,HARYANA,KARNAL,Chhaper,11.0,10.92,77.07011922633625,29.93399088020099
8211,6380,HARYANA,SIRSA,Ghukanwali,46.0,46.42,76.21921221269557,29.90810655316018
11931,8758,HARYANA,YAMUNANAGAR,Jhaguri,5.0,4.93,77.17351359724982,30.11390931188285
11930,8758,HARYANA,YAMUNANAGAR,Jhaguri,4.0,3.57,77.1735388490921,30.110978952687177
13103,9536,HARYANA,YAMUNANAGAR,Sarawa,10.9,9.91,77.20181987231479,30.337719814244025
13102,9536,HARYANA,YAMUNANAGAR,Sarawa,4.8,5.63,77.19705602367495,30.344533960112884
24130,19814,HARYANA,YAMUNANAGAR,Kail,4.0,4.1,77.25011484431258,30.168654847970725
24127,19814,HARYANA,YAMUNANAGAR,Kail,5.0,5.17,77.25219943168894,30.192309732454547
7732,5736,PUNJAB,FARIDKOT,Kamiana,12.0,11.14,74.74930683673644,30.618271993522622
7131,5736,PUNJAB,FARIDKOT,Kamiana,7.0,5.88,74.72393184804626,30.656990254281144
13646,9869,HARYANA,YAMUNANAGAR,Chhari,3.2,3.12,77.1388201930993,30.083800628732263
24132,19817,HARYANA,YAMUNANAGAR,Sudhal,9.0,8.51,77.23016021898795,30.155880018240214
