farm_id,control_plot_id,soil_class,equlidian_distance,similarity_weight,centroid
25022,25022_16,7,0.597458544,0.209629392,"30.070026157560036,76.93585318230276"
25022,25022_43,7,0.60552082,0.206838257,"30.079368636514886,76.95022622684867"
25022,25022_7,7,0.641279232,0.195304736,"30.071982202059537,76.94506481709331"
25022,25022_18,7,0.644414707,0.194354458,"30.08044661485583,76.93621250841642"
25022,25022_38,7,0.646014501,0.193873157,"30.073978744810162,76.92938531225711"
17279,17279_26,7,0.525427848,0.225841351,"30.15806105540375,74.9135658146929"
17279,17279_12,7,0.577381319,0.205519872,"30.154467794267276,74.90781659687454"
17279,17279_35,7,0.605911269,0.19584276,"30.14914548965081,74.91156854073996"
17279,17279_1,7,0.630262434,0.188276071,"30.16452892544941,74.9088945752155"
17279,17279_29,7,0.643092184,0.184519946,"30.149796554789855,74.90961322744278"
23651,23651_9,7,0.36992881,0.217667869,"29.83163654847707,76.53754060185014"
23651,23651_35,7,0.399651708,0.201479474,"29.83394890089343,76.53556389169911"
23651,23651_49,7,0.404241685,0.199191768,"29.826043726393177,76.53879782672195"
23651,23651_31,7,0.408060802,0.197327495,"29.82496574805223,76.5452656967676"
23651,23651_3,7,0.436825983,0.184333394,"29.829277661416004,76.54131310951747"
16413,16413_15,7,0.270743049,0.23097001,"29.82532507416588,76.62288013731552"
16413,16413_21,7,0.30534025,0.204799482,"29.82496574805223,76.6225208112019"
16413,16413_41,7,0.31099035,0.201078667,"29.826043726393177,76.62216148508823"
16413,16413_16,7,0.343517834,0.182038656,"29.826762378620472,76.60455450551949"
16413,16413_45,7,0.345273177,0.181113185,"29.826762378620472,76.61461563670163"
5737,5737_42,7,0.552846438,0.215218137,"29.63703819061443,76.75583079936521"
5737,5737_9,7,0.564488329,0.210779523,"29.636678788283273,76.7651514640259"
5737,5737_29,7,0.601960922,0.197658314,"29.637397516728075,76.7511595598878"
5737,5737_6,7,0.62734403,0.189660816,"29.634522907818898,76.75726810381983"
5737,5737_27,7,0.637350199,0.186683209,"29.641350103978205,76.75583079936521"
4373,4373_47,7,0.488576105,0.203808829,"29.6338042555916,76.73930179813742"
4373,4373_43,7,0.49292035,0.202012605,"29.63847549506902,76.74792562486496"
4373,4373_34,7,0.494642564,0.20130925,"29.635241560046186,76.73642718922824"
4373,4373_19,7,0.497605212,0.200110693,"29.648447406828296,76.73570853700093"
4373,4373_17,7,0.516584535,0.192758623,"29.641350103978205,76.74720697263766"
5252,5252_13,7,0.419224735,0.212978676,"29.736212197981228,76.74181708093295"
5252,5252_6,7,0.423453319,0.210851881,"29.736571524094867,76.74720697263766"
5252,5252_37,7,0.43824681,0.20373435,"29.728666349594622,76.73930179813742"
5252,5252_40,7,0.472560538,0.188940721,"29.738008828549464,76.74037977647836"
5252,5252_27,7,0.486586745,0.183494371,"29.740524111344996,76.73714584145553"
13556,13556_22,7,0.590683066,0.212068998,"30.117457204561546,77.17444572176491"
13556,13556_1,7,0.603324872,0.207625397,"30.127518335743687,77.17300841731031"
